"filename", "language", "Markdown", "Go", "Go Checksum File", "Go Module File", "JSON", "XML", "comment", "blank", "total"
"e:\goland\project\awesomeProxy\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"e:\goland\project\awesomeProxy\Cert\WindowsCA.go", "Go", 0, 49, 0, 0, 0, 0, 8, 11, 68
"e:\goland\project\awesomeProxy\Core\ProxyHttp.go", "Go", 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\goland\project\awesomeProxy\Log\Logger.go", "Go", 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\goland\project\awesomeProxy\README.md", "Markdown", 55, 0, 0, 0, 0, 0, 0, 19, 74
"e:\goland\project\awesomeProxy\Reproxy\handle.go", "Go", 0, 76, 0, 0, 0, 0, 6, 14, 96
"e:\goland\project\awesomeProxy\config.json", "JSON", 0, 0, 0, 0, 4, 0, 2, 0, 6
"e:\goland\project\awesomeProxy\config\ConfigInit.go", "Go", 0, 48, 0, 0, 0, 0, 3, 4, 55
"e:\goland\project\awesomeProxy\go.mod", "Go Module File", 0, 0, 0, 4, 0, 0, 0, 3, 7
"e:\goland\project\awesomeProxy\go.sum", "Go Checksum File", 0, 0, 2, 0, 0, 0, 0, 0, 2
"e:\goland\project\awesomeProxy\main.go", "Go", 0, -53, 0, 0, 0, 0, -57, -6, -116
"Total", "-", 55, 127, 2, 4, 4, 6, -38, 46, 206